Connections, min time, max time, avg time, messages,connections, min time, max time, avg time
7,0.38,0.58,0.44,255,7,18.57,100.25,60.31
10,0.08,0.18,0.12,255,10,4.27,42.40,22.42
15,0.63,1000,200.54,255,15,19.01,242.69,96.43
30,0.96,1000,600.47,255,30,19.41,369.68,136.56
50,1.62,3000,1800,255,50,3.49,772.54,221.20
100,0.72,3001,1341,255,86,4.4,3228,722.52
7,0.34,0.58,0.43,1000,7,34.77,117.62,72.36
7,0.32,0.75,0.53,5000,7,292.21,1973,1131
7,0.26,0.61,0.41,10000,7,564.45,1933,1078
100,0.75,3000,1559,10000,34,293.86,7836,3639
